model,dataset,split,category,acc,pairwise_acc,pairwise_acc_50,pairwise_acc_60,pairwise_acc_70,precision_caption,precision_foil
ALBEF,VALSE,active,social,0.4868421052631579,0.4605263157894737,0.1052631578947368,0.0789473684210526,0.0526315789473684,0.1973684210526315,0.7763157894736842
ALBEF,VALSE,active,mental_cognition,0.5,0.3529411764705882,0.0,0.0,0.0,0.1176470588235294,0.8823529411764706
ALBEF,VALSE,active,contact,0.5,0.484375,0.3125,0.21875,0.203125,0.421875,0.578125
ALBEF,VALSE,active,contrast,0.4948453608247423,0.4536082474226804,0.1134020618556701,0.1030927835051546,0.0721649484536082,0.2474226804123711,0.7422680412371134
ALBEF,VALSE,active,change_location,0.4827586206896552,0.4482758620689655,0.1724137931034483,0.1379310344827586,0.1034482758620689,0.3103448275862069,0.6551724137931034
ALBEF,VALSE,active,motion_direction,0.5454545454545454,0.5909090909090909,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.4545454545454545,0.6363636363636364
ALBEF,VALSE,active,perception,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.1428571428571428,1.0
ALBEF,VALSE,active,exchange,0.5,0.375,0.25,0.25,0.25,0.375,0.625
ALBEF,VALSE,active,motion_manner,0.5,0.35,0.2,0.15,0.15,0.2,0.8
ALBEF,VALSE,active,contrast ,0.5,1.0,0.0,0.0,0.0,0.0,1.0
ALBEF,VALSE,passive,,0.4927007299270073,0.5054744525547445,0.13138686131386862,0.11861313868613138,0.10766423357664233,0.291970802919708,0.6934306569343066
ALBEF,VALSE,passive,body_action,0.4634146341463415,0.4634146341463415,0.14634146341463414,0.14634146341463414,0.14634146341463414,0.2682926829268293,0.6585365853658537
ALBEF,VALSE,passive,communication,0.4928571428571429,0.34285714285714286,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.24285714285714285,0.7428571428571429
ALBEF,VALSE,passive,change_state,0.4943820224719101,0.6292134831460674,0.16853932584269662,0.15730337078651685,0.15730337078651685,0.3595505617977528,0.6292134831460674
ALBEF,VALSE,passive,social,0.506578947368421,0.5921052631578947,0.11842105263157894,0.11842105263157894,0.10526315789473684,0.25,0.7631578947368421
ALBEF,VALSE,passive,mental_cognition,0.5,0.7058823529411765,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.8235294117647058
ALBEF,VALSE,passive,contact,0.484375,0.421875,0.203125,0.15625,0.140625,0.375,0.59375
ALBEF,VALSE,passive,contrast,0.5154639175257731,0.5876288659793815,0.18556701030927836,0.17525773195876287,0.15463917525773196,0.29896907216494845,0.7319587628865979
ALBEF,VALSE,passive,change_location,0.5,0.5172413793103449,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.3448275862068966,0.6551724137931034
ALBEF,VALSE,passive,motion_direction,0.45454545454545453,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.36363636363636365,0.5454545454545454
ALBEF,VALSE,passive,perception,0.4642857142857143,0.42857142857142855,0.0,0.0,0.0,0.07142857142857142,0.8571428571428571
ALBEF,VALSE,passive,exchange,0.5,0.375,0.0,0.0,0.0,0.25,0.75
ALBEF,VALSE,passive,motion_manner,0.45,0.25,0.05,0.05,0.0,0.2,0.7
ALBEF,VALSE,passive,contrast ,0.5,1.0,0.0,0.0,0.0,0.0,1.0
